"filename", "language", "Java", "Properties", "comment", "blank", "total"
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\DemossApplication.java", "Java", 17, 0, 0, 10, 27
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\Security\JWTDecoder.java", "Java", 36, 0, 0, 13, 49
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\controller\ControllerAdvertisment.java", "Java", 57, 0, 25, 17, 99
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\controller\ControllerOrder.java", "Java", 90, 0, 36, 14, 140
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\dto\OrderHistoryDTO.java", "Java", 46, 0, 43, 10, 99
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\dto\PlayedDTO.java", "Java", 31, 0, 12, 9, 52
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\exceptions\NoOrderIdFoundException.java", "Java", 7, 0, 0, 4, 11
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\exceptions\NoUserFoundException.java", "Java", 7, 0, 3, 2, 12
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\exceptions\NoVideoException.java", "Java", 10, 0, 3, 3, 16
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\exceptions\WrongAuthLevelException.java", "Java", 10, 0, 3, 3, 16
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\exceptions\WrongJsonFormatException.java", "Java", 10, 0, 3, 5, 18
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\Advertisement_order.java", "Java", 45, 0, 24, 10, 79
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\Advertisement_video.java", "Java", 41, 0, 13, 11, 65
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\Interest.java", "Java", 24, 0, 11, 9, 44
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\JsonHandler.java", "Java", 127, 0, 47, 27, 201
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\Order.java", "Java", 40, 0, 24, 13, 77
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\OrderHistory.java", "Java", 69, 0, 19, 18, 106
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\PlayedVideo.java", "Java", 19, 0, 35, 10, 64
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\model\Played_video.java", "Java", 37, 0, 24, 9, 70
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\repository\AdvertismentOrderRepository.java", "Java", 8, 0, 4, 4, 16
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\repository\AdvertismentRepository.java", "Java", 5, 0, 4, 4, 13
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\repository\InterestRepository.java", "Java", 5, 0, 0, 2, 7
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\repository\OrderRepository.java", "Java", 7, 0, 0, 5, 12
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\java\com\example\demos\repository\PlayedVideoRepository.java", "Java", 18, 0, 0, 5, 23
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\main\resources\application.properties", "Properties", 0, 7, 0, 1, 8
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\AdverVideoTest.java", "Java", 38, 0, 0, 9, 47
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\ControllerAdvertismentTest.java", "Java", 64, 0, 0, 26, 90
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\ControllerOrderTest.java", "Java", 78, 0, 0, 25, 103
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\JsonHandlerTest.java", "Java", 44, 0, 0, 18, 62
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\OrderHistoryTest.java", "Java", 64, 0, 0, 17, 81
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\OrderTest.java", "Java", 38, 0, 0, 11, 49
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\PlayedVideoTest.java", "Java", 25, 0, 0, 9, 34
"c:\Users\Netanel\Desktop\test\test4\BackOffice-end\src\test\java\com\example\demos\utils\Config.java", "Java", 19, 0, 1, 5, 25
"Total", "-", 1136, 7, 334, 338, 1815